"Year","DR","Tier1","Tier2","Tier3","Tier4","Tier5"
2007,5,0.12867,0.14884,0.24405,0.25312,0.26895
2007,6,0.12867,0.14884,0.24405,0.25312,0.26895
2007,7,0.12867,0.14884,0.22557,0.23464,0.25047
2007,8,0.12867,0.14884,0.22557,0.23464,0.25047
2007,9,0.12867,0.14884,0.22557,0.23464,0.25047
2007,10,0.12867,0.14884,0.20795,0.21702,0.23285
2007,11,0.12867,0.14884,0.1927,0.20152,0.2196
2007,12,0.12867,0.14884,0.1927,0.20152,0.2196
2008,1,0.12867,0.14884,0.18788,0.1967,0.21478
2008,2,0.12867,0.14884,0.18788,0.1967,0.21478
2008,3,0.12867,0.14884,0.18788,0.1967,0.21478
2008,4,0.12867,0.14884,0.18788,0.1967,0.21478
2008,5,0.13034,0.15154,0.21874,0.24281,0.24281
2008,6,0.13034,0.15154,0.21591,0.23998,0.23998
2008,7,0.13034,0.15154,0.21591,0.23998,0.23998
2008,8,0.13034,0.15154,0.21591,0.23998,0.23998
2008,9,0.1311,0.1523,0.21667,0.24074,0.24074
2008,10,0.1311,0.1523,0.21667,0.24074,0.24074
2008,11,0.13091,0.15211,0.20092,0.22474,0.22474
2008,12,0.13091,0.15211,0.20092,0.22474,0.22474
2009,1,0.12867,0.14884,0.30322,0.32322,0.32322
2009,2,0.12867,0.14884,0.30322,0.32322,0.32322
2009,3,0.12867,0.14884,0.30322,0.32322,0.32322
2009,4,0.12867,0.14884,0.30322,0.32322,0.32322
2009,5,0.12867,0.14884,0.31554,0.33554,0.33554
2009,6,0.12867,0.14884,0.31554,0.33554,0.33554
2009,7,0.12867,0.14884,0.31554,0.33554,0.33554
2009,8,0.12867,0.14884,0.31554,0.33554,0.33554
2009,9,0.12867,0.14884,0.31554,0.33554,0.33554
2009,10,0.12867,0.14884,0.31554,0.33554,0.33554
2009,11,0.12867,0.14884,0.29925,0.31925,0.31925
2009,12,0.12867,0.14884,0.29925,0.31925,0.31925
2010,1,0.12867,0.14884,0.30322,0.32322,0.32322
2010,2,0.12867,0.14884,0.30322,0.32322,0.32322
2010,3,0.12867,0.14884,0.30322,0.32322,0.32322
2010,4,0.12867,0.14884,0.30322,0.32322,0.32322
2010,5,0.13412,0.15489,0.27193,0.29193,0.29193
2010,6,0.13412,0.15489,0.27193,0.29193,0.29193
2010,7,0.13412,0.15489,0.27193,0.29193,0.29193
2010,8,0.13412,0.15489,0.27193,0.29193,0.29193
2010,9,0.13412,0.15489,0.28201,0.30201,0.30201
2010,10,0.13412,0.15489,0.28201,0.30201,0.30201
2010,11,0.13412,0.15489,0.26552,0.28552,0.28552
2010,12,0.13412,0.15489,0.26552,0.28552,0.28552
2011,1,0.1381,0.15949,0.27296,0.29296,0.29296
2011,2,0.1381,0.15949,0.27296,0.29296,0.29296
2011,3,0.1381,0.15949,0.27296,0.29296,0.29296
2011,4,0.1381,0.15949,0.27296,0.29296,0.29296
2011,5,0.1381,0.15949,0.289,0.309,0.309
2011,6,0.1381,0.15949,0.289,0.309,0.309
2011,7,0.1381,0.15949,0.289,0.309,0.309
2011,8,0.1381,0.15949,0.289,0.309,0.309
2011,9,0.1381,0.15949,0.29258,0.31258,0.31258
2011,10,0.1381,0.15949,0.29258,0.31258,0.31258
2011,11,0.1381,0.15949,0.27558,0.29558,0.29558
2011,12,0.1381,0.15949,0.27558,0.29558,0.29558
2012,1,0.14334,0.1658,0.23974,0.25974,0.25974
2012,2,0.14334,0.1658,0.23974,0.25974,0.25974
2012,3,0.14334,0.1658,0.23907,0.25907,0.25907
2012,4,0.14334,0.1658,0.23907,0.25907,0.25907
2012,5,0.14334,0.1658,0.25627,0.27627,0.27627
2012,6,0.14334,0.1658,0.25627,0.27627,0.27627
2012,7,0.14334,0.1658,0.25351,0.27351,0.27351
2012,8,0.14334,0.1658,0.25351,0.27351,0.27351
2012,9,0.14334,0.1658,0.27982,0.29982,0.29982
2012,10,0.14334,0.1658,0.27982,0.29982,0.29982
2012,11,0.14334,0.1658,0.26239,0.28239,0.28239
2012,12,0.14334,0.1658,0.26239,0.28239,0.28239
2013,1,0.14764,0.17077,0.25607,0.27607,0.27607
2013,2,0.14764,0.17077,0.25607,0.27607,0.27607
2013,3,0.14764,0.17077,0.25607,0.27607,0.27607
2013,4,0.14764,0.17077,0.25607,0.27607,0.27607
2013,5,0.14764,0.17077,0.25607,0.27607,0.27607
2013,6,0.14764,0.17077,0.25607,0.27607,0.27607
2013,7,0.14764,0.17077,0.25607,0.27607,0.27607
2013,8,0.14764,0.17077,0.25607,0.27607,0.27607
2013,9,0.14764,0.17077,0.3459,0.3659,0.3659
2013,10,0.14764,0.17077,0.3459,0.3659,0.3659
2013,11,0.14764,0.17077,0.32737,0.34737,0.34737
2013,12,0.14764,0.17077,0.34771,0.36771,0.36771
2014,1,0.14953,0.17266,0.33913,0.35913,0.35913
