mon,intercept,totalVal,ownerocc,bedrooms,baths,pool,numCarStorage,totalLvg,parView,acreage,homeAge
1,-160.71623,8.415690e-05,257.5045,3.1033205,2.117646,268.1059,13.97263,0.1798476,11.839854,395.5399,1.6825866
2,-107.62096,8.794658e-05,193.6168,0.5885457,1.3551848,224.1025,11.63992,0.1535032,16.100234,381.2859,1.5648444
3,-136.29066,8.117824e-05,259.1678,-3.3589287,1.4039792,243.1319,13.86225,0.155611,-1.444615,348.0777,1.2799746
4,-62.49727,9.289013e-05,201.3834,-0.4906446,1.3059574,238.3728,13.89177,0.124299,13.461313,315.9748,0.8102168
5,-158.21002,7.432628e-05,235.1433,4.9382071,0.1654142,277.8834,17.35064,0.1494931,15.294717,268.5059,0.8557237
6,-156.73768,3.290243e-05,237.0522,6.6648322,-0.3878593,319.3636,18.75933,0.1641486,4.881279,291.2117,0.7926075
7,-133.77949,6.060943e-07,255.215,8.306254,0.6991186,353.4219,20.12708,0.1611451,29.37118,349.0868,0.3461748
8,55.77163,-7.925297e-05,209.1466,-2.4213579,-1.3439551,379.884,17.67781,0.2099255,2.076252,359.4213,-1.1122617
9,-53.86721,-1.191043e-05,251.4881,11.0687719,1.2274766,371.3107,23.44921,0.2038107,-5.69349,377.7731,-0.6842346
10,-197.50242,8.578331e-05,223.7777,15.3654512,-0.8299068,325.9424,24.1367,0.2128673,-25.971927,323.5003,0.9970553
11,-146.90038,6.271093e-05,249.1893,8.9974697,0.4261719,267.9172,20.67387,0.1506356,16.485367,280.1657,0.5215073
