s2,s3,s4,s5,s6,s7,s8,s9,s10			
2.5,2.2,1.9,1.55,1.1,0.65,0.35,0.25,0.2
1,0.96,0.92,0.88,0.85,0.82,0.78,0.75,0.72
1.5,1.32,1.16,1.03,0.9,0.8,0.7,0.62,0.54
2,1.65,1.36,1.12,0.92,0.76,0.63,0.52,0.43
2.5,1.95,1.51,1.18,0.92,0.71,0.55,0.43,0.34
3,2.21,1.64,1.21,0.89,0.66,0.49,0.36,0.27
3.5,2.47,1.74,1.23,0.86,0.61,0.43,0.3,0.21
4,2.7,1.82,1.23,0.83,0.56,0.38,0.26,0.17
4.5,2.91,1.88,1.22,0.79,0.51,0.33,0.21,0.14
5,3.11,1.93,1.2,0.75,0.47,0.29,0.18,0.11
5.5,3.28,1.96,1.17,0.7,0.42,0.25,0.15,0.09
6,3.45,1.98,1.14,0.66,0.38,0.22,0.12,0.07
6.5,3.59,1.99,1.1,0.61,0.34,0.19,0.1,0.06
7,3.73,1.99,1.06,0.56,0.3,0.16,0.09,0.05
7.5,3.85,1.97,1.01,0.52,0.27,0.14,0.07,0.04
8,3.95,1.95,0.96,0.48,0.24,0.12,0.06,0.03
8.5,4.05,1.93,0.92,0.44,0.21,0.1,0.05,0.02
9,4.12,1.89,0.86,0.4,0.18,0.08,0.04,0.02
9.5,4.19,1.85,0.81,0.36,0.16,0.07,0.03,0.01
