"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
1.0,75.0,23.374303526061652,335859.0,72.0,0.0,17549.30863813235,73.0,0.0,22.691008711947138,0.35
2.0,77.0,114.83050709728717,335859.0,72.0,0.0,17410.02918742225,78.0,0.0,112.35030897246122,0.35
3.0,79.0,192.93970062327531,335859.0,72.0,0.0,17289.05044371789,82.0,0.0,185.2662635987381,0.35
4.0,81.0,250.18753059403596,335859.0,72.0,0.0,17165.936079103125,85.0,0.0,241.4388725905515,0.35
5.0,84.0,272.25523480993843,335859.0,72.0,0.0,17040.66700412732,86.0,0.0,264.12571594808315,0.35
6.0,87.0,294.1212578343477,335859.0,72.0,0.0,16877.1193332296,87.0,0.0,286.81117085419214,0.35
7.0,90.0,367.61903058302465,335859.0,72.0,0.0,16715.839657187487,91.0,0.0,359.7224973088784,0.35
8.0,92.0,443.1472062497177,335859.0,72.0,0.0,16552.351515623755,95.0,0.0,432.632435312142,0.25
9.0,94.0,480.815984760168,335859.0,72.0,0.0,16459.631517418875,97.0,0.0,472.05660768112386,0.25
10.0,96.0,520.9145807293022,335859.0,72.0,0.0,16365.21412424971,99.0,0.0,511.479854415824,0.25
11.0,98.0,579.7953968843991,335859.0,72.0,0.0,16272.925781554533,102.0,0.0,567.6445955169074,0.25
12.0,101.0,638.6793096128348,335859.0,72.0,0.0,16125.44237367434,105.0,0.0,623.8084109837729,0.25
13.0,104.0,677.0203835271134,335859.0,72.0,0.0,15975.084080804958,107.0,0.0,663.2284179992156,0.25
14.0,106.0,732.3387853380212,335859.0,72.0,0.0,15825.843357516222,110.0,0.0,719.3894565632354,0.25
15.0,108.0,787.4959739394874,335859.0,72.0,0.0,15697.42162752593,113.0,0.0,775.5495694929733,0.25
16.0,110.0,861.3653188053613,335859.0,72.0,0.0,15566.578852906736,117.0,0.0,848.4511767884293,0.25
17.0,113.0,885.6725775797757,335859.0,72.0,0.0,15432.905635341904,118.0,0.0,871.1245984496036,0.25
18.0,116.0,993.4991495556427,335859.0,72.0,0.0,15256.740416894365,124.0,0.0,977.5087316593547,0.25
19.0,119.0,1119.3088617136793,335859.0,72.0,0.0,15083.63556145557,131.0,0.0,1100.6338964176834,0.2
20.0,121.0,1213.7066281446553,335859.0,72.0,0.0,14909.535613870683,136.0,0.0,1190.2728327245895,0.2
21.0,123.0,1271.401752256721,335859.0,72.0,0.0,14810.74214966411,139.0,0.0,1246.4260033972137,0.2
22.0,125.0,1274.7912688217632,335859.0,72.0,0.0,14711.010859374957,139.0,0.0,1252.3509884355558,0.2
