"run","xBgtNewIncentive","incentiveSerNo","seedingPlan","randomSeed","seedBudgetMultiplier","budgeAdjAllSteps","fromMonth"
1,1.0,0.0,"0,1",-1609344308,1.0,1.0,48
2,1.0,0.0,"0,1",-1609344308,1.0,1.0,48
3,1.0,0.0,"0,1",-1609344308,1.0,1.0,48
4,1.0,0.0,"0,1",-1609344308,1.0,1.0,48
5,1.0,0.0,"0,1",-1609344308,1.0,1.0,48
6,1.0,0.0,"0,1",-1609344308,1.0,1.0,48
7,1.0,0.0,"0,1",-1609344308,1.0,1.0,48
8,1.0,0.0,"0,1",-1609344308,1.0,1.0,48
9,1.0,0.0,"0,1",-1609344308,1.0,1.0,48
10,1.0,0.0,"0,1",-1609344308,1.0,1.0,48
